Nom;Prénom;Sexe;Date de naissance;Lieu de naissance;Téléphone;E-mail;Adresse;Groupe sanguin;Classe
Condé;Salamatou;F;14/02/2012;Siguiri;660205428;salamatou.conde183@yahoo.fr;Quartier Madina;A+;2eme annee
Kourouma;Aicha;F;25/01/2009;Dinguiraye;658995528;;Quartier Bambeto;A+;Terminale SE
Baldé;Younoussa;M;08/08/2009;Dabola;656793013;younoussa.balde756@hotmail.com;Quartier Ratoma;O-;Terminale SE
Diaby;Fodé;M;14/03/2012;Dubréka;657468292;fode.diaby305@gmail.com;Quartier Wanindara;A-;3ème Année
Kourouma;Aminata;F;08/02/2013;Kamsar;662901577;aminata.kourouma67@yahoo.fr;Quartier Gbessia;AB+;2eme annee
Bangoura;Fanta;F;24/08/2011;Beyla;620405677;fanta.bangoura592@gmail.com;Quartier Cosa;B-;4eme Annee
Sylla;Kadija;F;27/12/2013;Boké;660570392;kadija.sylla140@gmail.com;Quartier Madina;B+;2eme annee
Diakité;Aicha;F;22/07/2013;Dubréka;658844638;aicha.diakite247@hotmail.com;Quartier Matam;O-;2eme annee
Kanté;Aissatou;F;15/07/2011;Dinguiraye;623673867;aissatou.kante344@yahoo.fr;Quartier Sonfonia;O+;3ème Année
Bah;Sékou;M;19/07/2011;Kissidougou;660261050;;Quartier Madina;AB+;3ème Année
Soumah;Yaya;M;03/12/2008;Kankan;656103005;yaya.soumah900@gmail.com;Quartier Nongo;AB-;Terminale SE
Kourouma;Mabinty;F;24/02/2011;Kankan;662504048;mabinty.kourouma463@yahoo.fr;Quartier Enco 5;A+;3ème Année
Kaba;Elhadj;M;15/04/2013;Kissidougou;624502219;elhadj.kaba80@yahoo.fr;Quartier Ratoma;B+;2eme annee
Barry;Binta;F;28/04/2012;Lola;657986827;binta.barry96@outlook.com;Quartier Ratoma;AB+;2eme annee
Camara;Hadja;F;21/05/2011;Kissidougou;664994199;hadja.camara642@hotmail.com;Quartier Enco 5;O+;4eme Annee
Sidibé;Elhadj;M;07/10/2013;Yomou;622148050;elhadj.sidibe5@outlook.com;Quartier Ratoma;A-;2eme annee
Konaté;Rougui;F;13/02/2013;Forécariah;659901535;rougui.konate171@gmail.com;Quartier Kaloum;O-;2eme annee
Kaba;Fassou;M;09/09/2012;Kissidougou;659241678;fassou.kaba440@yahoo.fr;Quartier Enco 5;AB-;3ème Année
Sylla;Cellou;M;03/12/2011;Pita;655931420;cellou.sylla469@hotmail.com;Quartier Enco 5;O-;3ème Année
Diaby;Tibou;M;27/06/2011;Siguiri;625219361;tibou.diaby351@hotmail.com;Quartier Hamdallaye;AB+;3ème Année
Keita;Fanta;F;28/07/2011;Yomou;621626491;fanta.keita314@yahoo.fr;Quartier Dixinn;AB-;3ème Année
Bangoura;Binta;F;24/11/2011;Boké;658746002;binta.bangoura263@yahoo.fr;Quartier Ratoma;O-;3ème Année
Barry;Abdoulaye;M;27/10/2011;Tougué;628642085;abdoulaye.barry668@yahoo.fr;Quartier Cimenterie;AB-;4eme Annee
Doumbouya;Mariame;F;05/04/2012;Mali;624595962;mariame.doumbouya430@yahoo.fr;Quartier Lambanyi;AB-;3ème Année
Sow;Elhadj;M;05/09/2010;Dubréka;659235670;elhadj.sow712@gmail.com;Quartier Sonfonia;AB-;4eme Annee
Diallo;Kesso;F;17/03/2012;N'Zérékoré;627955413;kesso.diallo202@outlook.com;Quartier Enco 5;B-;2eme annee
Konaté;Sira;F;08/08/2013;Mali;657760351;sira.konate240@hotmail.com;Quartier Kipé;O+;2eme annee
Kouyaté;Hawa;F;21/01/2010;Dabola;629319770;hawa.kouyate574@outlook.com;Quartier Simbaya;AB-;4eme Annee
Camara;Aly;M;10/09/2012;Siguiri;623183958;aly.camara150@outlook.com;Quartier Bambeto;AB-;2eme annee
Condé;Alhassane;M;22/08/2012;Coyah;663128679;alhassane.conde420@outlook.com;Quartier Ratoma;AB+;3ème Année
Kanté;Aboubacar;M;07/09/2008;Télimélé;625970055;aboubacar.kante808@outlook.com;Quartier Gbessia;AB+;Terminale SE
Traoré;Aboubacar;M;28/06/2008;Siguiri;623103234;aboubacar.traore816@hotmail.com;Quartier Kaloum;O+;Terminale SE
Bangoura;Sira;F;06/05/2011;Dabola;664961493;sira.bangoura476@hotmail.com;Quartier Simbaya;A+;3ème Année
Diaby;Sanoussy;M;16/05/2010;Fria;624630155;;Quartier Hamdallaye;B+;4eme Annee
Diaby;Fassou;M;07/02/2012;Forécariah;627540208;fassou.diaby280@gmail.com;Quartier Kaloum;B+;3ème Année
Kouyaté;Alpha;M;28/11/2012;Dabola;623287143;alpha.kouyate198@hotmail.com;Quartier Gbessia;A+;2eme annee
Konaté;Fassou;M;09/07/2012;Dinguiraye;660699809;fassou.konate318@gmail.com;Quartier Matam;B+;3ème Année
Sidibé;Bakary;M;11/04/2008;Télimélé;660164329;bakary.sidibe870@gmail.com;Quartier Bambeto;O-;Terminale SE
Cissé;Sanoussy;M;01/03/2012;Siguiri;627923824;sanoussy.cisse390@hotmail.com;Quartier Hamdallaye;B-;3ème Année
Baldé;Mariame;F;24/11/2008;Faranah;626849149;mariame.balde846@yahoo.fr;Quartier Lambanyi;A+;Terminale SE
Baldé;Aminata;F;23/09/2009;Faranah;662464211;aminata.balde876@hotmail.com;Quartier Kagbelen;O-;Terminale SE
Condé;Karim;M;13/09/2013;Télimélé;625812711;karim.conde223@hotmail.com;Quartier Ratoma;B+;2eme annee
Kouyaté;Mamadou;M;08/11/2008;Kamsar;627220783;;Quartier Matoto;B+;Terminale SE
Camara;Rougui;F;10/01/2009;N'Zérékoré;661958837;rougui.camara931@hotmail.com;Quartier Kagbelen;AB-;Terminale SE
Doumbouya;Sanoussy;M;04/01/2012;Faranah;627635482;sanoussy.doumbouya236@yahoo.fr;Quartier Yimbaya;B-;2eme annee
Camara;Hadja;F;23/04/2011;Dabola;629235193;;Quartier Gbessia;B+;3ème Année
Fofana;Bakary;M;04/09/2008;Boké;627481308;bakary.fofana967@hotmail.com;Quartier Simbaya;A-;Terminale SE
Fofana;Moussa;M;24/05/2012;Télimélé;664776913;;Quartier Yimbaya;A-;3ème Année
Traoré;Néné;F;11/10/2013;Forécariah;661658198;nene.traore174@outlook.com;Quartier Wanindara;O+;2eme annee
Camara;Sira;F;19/01/2010;Labé;655166292;;Quartier Kaloum;AB+;4eme Annee
Camara;Fodé;M;19/08/2011;Yomou;626576769;;Quartier Cimenterie;A+;3ème Année
Diaby;Kadiatou;F;06/09/2010;Labé;620608623;kadiatou.diaby575@gmail.com;Quartier Cosa;AB-;4eme Annee
Diakité;Kadija;F;14/09/2013;Tougué;658963333;kadija.diakite159@yahoo.fr;Quartier Cimenterie;O-;2eme annee
Touré;Aicha;F;13/12/2010;Coyah;626670871;aicha.toure704@hotmail.com;Quartier Nongo;AB+;4eme Annee
Camara;Alhassane;M;21/12/2013;Pita;660583214;alhassane.camara212@outlook.com;Quartier Matam;A+;2eme annee
Diakité;Saliou;M;07/10/2012;Forécariah;620872722;saliou.diakite417@gmail.com;Quartier Tombolia;B+;3ème Année
Soumah;Karim;M;01/05/2008;Lola;661847868;karim.soumah851@yahoo.fr;Quartier Kaloum;AB+;Terminale SE
Kouyaté;Younoussa;M;09/03/2012;Kamsar;623878480;younoussa.kouyate28@outlook.com;Quartier Bambeto;A-;2eme annee
Diaby;Kadija;F;26/08/2008;Lola;656456329;kadija.diaby770@hotmail.com;Quartier Kobaya;AB+;Terminale SE
Sow;Moussa;M;10/01/2009;Labé;625957210;moussa.sow887@yahoo.fr;Quartier Ratoma;A+;Terminale SE
Kourouma;Saran;F;25/03/2008;Kamsar;623419398;saran.kourouma978@outlook.com;Quartier Yimbaya;AB-;Terminale SE
Diallo;Elhadj;M;22/05/2011;Yomou;656200488;elhadj.diallo612@outlook.com;Quartier Kaloum;O+;4eme Annee
Cissé;Aminata;F;05/12/2011;Dabola;625155457;aminata.cisse610@hotmail.com;Quartier Kagbelen;B-;4eme Annee
Bangoura;Nassa;F;08/08/2010;Gueckedou;621239849;;Quartier Kagbelen;AB+;4eme Annee
Traoré;Sira;F;19/05/2008;Dubréka;655163821;;Quartier Enco 5;O+;Terminale SE
Sylla;Oumou;F;03/05/2008;Forécariah;657231211;oumou.sylla907@hotmail.com;Quartier Simbaya;O+;Terminale SE
Baldé;Ibrahima;M;07/11/2008;Coyah;657297045;ibrahima.balde966@outlook.com;Quartier Sonfonia;B-;Terminale SE
Traoré;Thierno;M;20/06/2012;Conakry;624606545;thierno.traore353@gmail.com;Quartier Lambanyi;AB-;3ème Année
Cissé;Sanoussy;M;13/03/2011;Beyla;620943442;;Quartier Kaloum;AB-;3ème Année
Sow;Sékou;M;08/07/2012;Faranah;622542750;sekou.sow444@outlook.com;Quartier Bambeto;B+;3ème Année
Sylla;Abdoulaye;M;07/04/2012;Pita;623883159;abdoulaye.sylla208@hotmail.com;Quartier Cosa;A-;2eme annee
Kourouma;Djénabou;F;12/01/2013;Kissidougou;663486831;djenabou.kourouma158@yahoo.fr;Quartier Simbaya;O-;2eme annee
Kaba;Fodé;M;01/10/2012;Gaoual;622866437;fode.kaba255@outlook.com;Quartier Ratoma;AB+;3ème Année
Barry;Fodé;M;09/08/2011;Gueckedou;664543621;;Quartier Lambanyi;B-;4eme Annee
Diakité;Néné;F;16/09/2013;Kindia;620836986;nene.diakite218@hotmail.com;Quartier Lambanyi;B-;2eme annee
Cissé;Moussa;M;05/01/2012;Labé;664152179;moussa.cisse116@outlook.com;Quartier Yimbaya;AB+;2eme annee
Baldé;Souleymane;M;21/06/2009;Koundara;622571233;souleymane.balde952@gmail.com;Quartier Gbessia;B+;Terminale SE
Kourouma;Alpha;M;15/01/2009;Kindia;626396765;alpha.kourouma985@gmail.com;Quartier Matoto;AB-;Terminale SE
Konaté;Mariame;F;28/05/2013;Labé;625932250;mariame.konate157@yahoo.fr;Quartier Dixinn;A-;2eme annee
Sylla;Ibrahima;M;13/05/2008;Dubréka;625960116;ibrahima.sylla997@outlook.com;Quartier Simbaya;AB-;Terminale SE
Sow;Fatou;F;13/09/2013;Kissidougou;623374492;fatou.sow155@hotmail.com;Quartier Sonfonia;B+;2eme annee
Bah;Kesso;F;22/02/2011;Lola;660743644;;Quartier Tombolia;O+;3ème Année
Kouyaté;Amadou;M;04/11/2012;Dabola;662526117;amadou.kouyate32@yahoo.fr;Quartier Cosa;A+;2eme annee
Soumah;Thierno;M;23/01/2010;Forécariah;658910926;thierno.soumah660@hotmail.com;Quartier Kobaya;AB-;4eme Annee
Kaba;Binta;F;26/09/2011;Conakry;664617437;binta.kaba501@hotmail.com;Quartier Yimbaya;AB+;4eme Annee
Camara;Mamadou;M;18/04/2010;Dabola;662433955;mamadou.camara521@outlook.com;Quartier Enco 5;A-;4eme Annee
Sow;Aminata;F;20/10/2011;Faranah;664694587;aminata.sow489@yahoo.fr;Quartier Cosa;O+;3ème Année
Diallo;Mamadou;M;17/10/2011;Dubréka;625678588;mamadou.diallo736@yahoo.fr;Quartier Ratoma;A+;4eme Annee
Soumah;Oumou;F;03/09/2011;Faranah;658596330;;Quartier Simbaya;B-;4eme Annee
Fofana;Rougui;F;05/04/2010;Pita;629985126;rougui.fofana643@outlook.com;Quartier Ratoma;A-;4eme Annee
Bah;Bineta;F;12/09/2013;Kamsar;628701987;bineta.bah113@hotmail.com;Quartier Tombolia;O+;2eme annee
Cissé;Mariam;F;26/01/2011;Tougué;628161437;mariam.cisse294@hotmail.com;Quartier Gbessia;B-;3ème Année
Kaba;Hadja;F;17/05/2012;Gaoual;664543692;hadja.kaba15@yahoo.fr;Quartier Bambeto;AB+;2eme annee
Kourouma;Néné;F;16/06/2011;Gaoual;664657381;;Quartier Sonfonia;AB-;3ème Année
Kanté;Binta;F;03/01/2012;Fria;621286638;binta.kante381@gmail.com;Quartier Enco 5;A-;3ème Année
Kanté;Djeinabou;F;14/02/2012;Boké;624694116;djeinabou.kante317@gmail.com;Quartier Dixinn;O-;3ème Année
Diallo;Aicha;F;10/09/2008;Kamsar;661977116;aicha.diallo892@gmail.com;Quartier Cosa;O+;Terminale SE
Camara;Salamatou;F;19/02/2012;Gueckedou;621556112;salamatou.camara282@yahoo.fr;Quartier Cosa;B+;3ème Année
Kanté;Ibrahima;M;15/04/2013;Coyah;627997004;ibrahima.kante101@outlook.com;Quartier Tombolia;B-;2eme annee
Barry;Yaya;M;19/12/2012;Beyla;622620248;yaya.barry273@outlook.com;Quartier Matoto;AB-;3ème Année
Fofana;Kadija;F;25/05/2012;Koundara;629583757;kadija.fofana495@outlook.com;Quartier Simbaya;O+;3ème Année
Baldé;Hawa;F;27/03/2008;Faranah;623122013;hawa.balde755@yahoo.fr;Quartier Kipé;O-;Terminale SE
Cissé;Sanoussy;M;22/08/2011;Dubréka;660320939;sanoussy.cisse401@hotmail.com;Quartier Madina;A-;3ème Année
Kouyaté;Rougui;F;18/10/2011;Forécariah;657376502;rougui.kouyate711@hotmail.com;Quartier Yimbaya;AB-;4eme Annee
Camara;Souleymane;M;05/03/2010;Pita;659608608;souleymane.camara688@hotmail.com;Quartier Enco 5;A-;4eme Annee
Kanté;Djeinabou;F;19/04/2009;Tougué;664167808;djeinabou.kante823@hotmail.com;Quartier Kipé;AB+;Terminale SE
Sylla;Thierno;M;21/02/2009;Fria;627326122;thierno.sylla914@yahoo.fr;Quartier Matam;B-;Terminale SE
Kouyaté;Alseny;M;10/08/2012;Lola;662265649;;Quartier Nongo;B+;2eme annee
Bah;Assiatou;F;12/06/2008;Gaoual;624409012;assiatou.bah901@hotmail.com;Quartier Cosa;A-;Terminale SE
Traoré;Mohamed;M;08/10/2013;Beyla;622766269;mohamed.traore98@outlook.com;Quartier Kagbelen;AB+;2eme annee
Soumah;Aicha;F;07/09/2010;Yomou;626395548;aicha.soumah620@gmail.com;Quartier Dixinn;A-;4eme Annee
Sylla;Mariam;F;08/01/2012;Kissidougou;656766833;mariam.sylla279@gmail.com;Quartier Cimenterie;O+;3ème Année
Sidibé;Saran;F;27/03/2013;Lola;627133104;saran.sidibe176@gmail.com;Quartier Sonfonia;O+;2eme annee
Kourouma;Mariam;F;09/03/2010;N'Zérékoré;660230208;mariam.kourouma607@outlook.com;Quartier Lambanyi;A+;4eme Annee
Diakité;Mohamed;M;12/08/2010;Fria;655157706;mohamed.diakite600@yahoo.fr;Quartier Enco 5;A-;4eme Annee
Fofana;Bangaly;M;14/10/2011;Kankan;664355528;bangaly.fofana528@hotmail.com;Quartier Kipé;O-;4eme Annee
Kourouma;Aicha;F;15/02/2011;N'Zérékoré;659593403;aicha.kourouma525@yahoo.fr;Quartier Kaloum;B+;4eme Annee
Soumah;Fodé;M;03/12/2008;N'Zérékoré;659463627;fode.soumah778@outlook.com;Quartier Kipé;A+;Terminale SE
Sylla;Moussa;M;22/09/2010;Dabola;621216356;moussa.sylla586@hotmail.com;Quartier Simbaya;O+;4eme Annee
Diaby;Mariam;F;08/04/2013;Boké;623809570;mariam.diaby1@gmail.com;Quartier Enco 5;AB+;2eme annee
Sylla;Mabinty;F;15/09/2011;Télimélé;627283027;mabinty.sylla571@gmail.com;Quartier Simbaya;A+;4eme Annee
Camara;Abdoulaye;M;12/09/2012;Coyah;620913608;abdoulaye.camara457@hotmail.com;Quartier Matam;O+;3ème Année
Diakité;Oumou;F;21/06/2008;N'Zérékoré;627817663;oumou.diakite893@gmail.com;Quartier Wanindara;A+;Terminale SE
Sow;Ramatoulaye;F;28/11/2008;Yomou;628511907;;Quartier Enco 5;B+;Terminale SE
Soumah;Facinet;M;26/10/2008;Kindia;624261156;facinet.soumah771@outlook.com;Quartier Enco 5;AB+;Terminale SE
Konaté;Aicha;F;10/05/2008;Dubréka;629377611;aicha.konate858@hotmail.com;Quartier Sonfonia;B+;Terminale SE
Traoré;Sékou;M;12/04/2011;Gueckedou;659189903;;Quartier Kaloum;B-;4eme Annee
Baldé;Ibrahima;M;25/07/2013;Gueckedou;620998348;ibrahima.balde48@hotmail.com;Quartier Wanindara;O+;2eme annee
Bah;Hawa;F;27/01/2008;Yomou;664612348;;Quartier Sonfonia;O-;Terminale SE
Bah;Djénabou;F;03/06/2009;Macenta;655224099;djenabou.bah894@gmail.com;Quartier Matoto;A+;Terminale SE
Diallo;Bakary;M;23/07/2008;N'Zérékoré;659154961;bakary.diallo786@gmail.com;Quartier Kipé;A-;Terminale SE
Fofana;Bakary;M;25/02/2011;Lola;627102303;bakary.fofana360@outlook.com;Quartier Tombolia;B-;3ème Année
Bangoura;Bakary;M;21/01/2011;Macenta;621982348;bakary.bangoura651@gmail.com;Quartier Kobaya;A-;4eme Annee
Barry;Kadija;F;17/11/2012;Kankan;658415098;kadija.barry203@yahoo.fr;Quartier Kagbelen;AB+;2eme annee
Konaté;Ramatoulaye;F;12/08/2012;Lola;628712955;ramatoulaye.konate97@outlook.com;Quartier Dixinn;A-;2eme annee
Cissé;Saliou;M;01/12/2011;Beyla;660409963;saliou.cisse331@hotmail.com;Quartier Kipé;AB+;3ème Année
Sow;Djénabou;F;08/06/2011;Beyla;620265092;;Quartier Hamdallaye;AB+;3ème Année
Diallo;Alhassane;M;11/12/2012;Dinguiraye;664878533;alhassane.diallo493@gmail.com;Quartier Gbessia;O-;3ème Année
Diallo;Sanoussy;M;23/03/2012;Télimélé;655391369;sanoussy.diallo3@outlook.com;Quartier Dixinn;O-;2eme annee
Keita;Bineta;F;06/06/2010;Conakry;662441958;;Quartier Kobaya;AB+;4eme Annee
Camara;Kesso;F;16/11/2011;Coyah;620311505;kesso.camara415@outlook.com;Quartier Sonfonia;O+;3ème Année
Baldé;Aminata;F;28/08/2011;Forécariah;655169327;aminata.balde604@hotmail.com;Quartier Ratoma;O+;4eme Annee
Kaba;Aissatou;F;05/07/2012;Labé;621679720;aissatou.kaba275@hotmail.com;Quartier Cosa;B-;3ème Année
Camara;Bangaly;M;05/07/2012;Faranah;656900961;bangaly.camara170@gmail.com;Quartier Kipé;O+;2eme annee
Camara;Fanta;F;14/09/2011;Koundara;663606390;fanta.camara363@yahoo.fr;Quartier Enco 5;A+;3ème Année
Sano;Abdoulaye;M;18/07/2013;Pita;662938722;abdoulaye.sano49@yahoo.fr;Quartier Wanindara;A-;2eme annee
Diakité;Bangaly;M;23/11/2011;Dabola;623660894;bangaly.diakite652@hotmail.com;Quartier Kipé;O+;4eme Annee
Sano;Fodé;M;13/12/2010;Labé;656757258;fode.sano584@gmail.com;Quartier Kagbelen;O-;4eme Annee
Sylla;Alpha;M;27/01/2012;Kissidougou;661311976;alpha.sylla193@yahoo.fr;Quartier Matam;B-;2eme annee
Sylla;Facinet;M;15/01/2012;Macenta;663204837;;Quartier Sonfonia;B+;2eme annee
Sylla;Hawa;F;07/01/2013;Gueckedou;624888795;hawa.sylla220@hotmail.com;Quartier Ratoma;B+;2eme annee
Soumah;Kadija;F;11/01/2011;Conakry;623761032;kadija.soumah689@hotmail.com;Quartier Lambanyi;AB-;4eme Annee
Barry;Alseny;M;07/07/2011;Dabola;622783185;alseny.barry640@outlook.com;Quartier Lambanyi;B-;4eme Annee
Konaté;Thierno;M;07/02/2008;Macenta;620893270;thierno.konate910@yahoo.fr;Quartier Tombolia;A-;Terminale SE
Sylla;Djénabou;F;19/04/2009;Forécariah;656233457;djenabou.sylla992@outlook.com;Quartier Matoto;AB+;Terminale SE
Traoré;Mabinty;F;17/10/2010;Mamou;660627054;mabinty.traore719@gmail.com;Quartier Kobaya;A+;4eme Annee
Diakité;Tibou;M;09/08/2012;Mamou;659416822;tibou.diakite328@hotmail.com;Quartier Enco 5;O-;3ème Année
Bangoura;Yaya;M;10/06/2012;Labé;626458332;yaya.bangoura132@hotmail.com;Quartier Sonfonia;A-;2eme annee
Fofana;Aissatou;F;05/03/2012;Faranah;656710434;aissatou.fofana468@outlook.com;Quartier Bambeto;O-;3ème Année
Diakité;Saran;F;24/12/2011;Lola;629189913;saran.diakite403@hotmail.com;Quartier Wanindara;A+;3ème Année
Sow;Saliou;M;11/10/2010;Labé;620847949;;Quartier Kipé;O-;4eme Annee
Touré;Bangaly;M;19/03/2011;Gaoual;628105919;bangaly.toure373@yahoo.fr;Quartier Matoto;A+;3ème Année
Diaby;Abdoulaye;M;23/04/2009;Macenta;624996531;abdoulaye.diaby766@outlook.com;Quartier Madina;B+;Terminale SE
Traoré;Fassou;M;12/08/2008;Forécariah;664428881;fassou.traore919@hotmail.com;Quartier Gbessia;AB-;Terminale SE
Traoré;Yaya;F;21/11/2011;Télimélé;661541119;yaya.traore407@gmail.com;Quartier Gbessia;AB+;3ème Année
Soumah;Saran;F;28/02/2013;Gaoual;659204555;saran.soumah84@hotmail.com;Quartier Madina;A+;2eme annee
Keita;Kadija;F;07/09/2010;Tougué;625901834;;Quartier Matam;B-;4eme Annee
Kourouma;Amadou;M;06/06/2012;Pita;659779776;amadou.kourouma187@yahoo.fr;Quartier Madina;B-;2eme annee
Konaté;Rougui;F;18/04/2010;Télimélé;662573685;;Quartier Yimbaya;B+;4eme Annee
Bangoura;Ibrahima;M;11/09/2013;Yomou;658528090;;Quartier Kipé;A+;2eme annee
Fofana;Saliou;M;11/12/2010;Fria;664796781;saliou.fofana717@hotmail.com;Quartier Cosa;AB+;4eme Annee
Konaté;Salamatou;F;25/02/2012;Gaoual;627274389;salamatou.konate21@hotmail.com;Quartier Sonfonia;AB+;2eme annee
Doumbouya;Sira;F;05/10/2010;Gueckedou;620538065;sira.doumbouya581@gmail.com;Quartier Wanindara;O+;4eme Annee
Barry;Saran;F;18/07/2011;Kissidougou;657196411;saran.barry375@yahoo.fr;Quartier Kobaya;B-;3ème Année
Sylla;Alhassane;M;24/03/2013;Coyah;662839945;alhassane.sylla30@gmail.com;Quartier Dixinn;O-;2eme annee
Sylla;Djénabou;F;25/08/2010;Télimélé;657349505;djenabou.sylla547@yahoo.fr;Quartier Sonfonia;B-;4eme Annee
Fofana;Karim;M;18/02/2008;Lola;627848244;karim.fofana783@yahoo.fr;Quartier Wanindara;B+;Terminale SE
Fofana;Mamadou;M;13/12/2013;Faranah;661666211;mamadou.fofana72@gmail.com;Quartier Simbaya;O+;2eme annee
Soumah;Thierno;M;04/01/2013;Macenta;658462479;thierno.soumah36@outlook.com;Quartier Lambanyi;O-;2eme annee
Keita;Yaya;F;08/05/2011;Mamou;655122755;yaya.keita467@outlook.com;Quartier Tombolia;A+;3ème Année
Diallo;Aly;M;26/08/2012;Gueckedou;662475479;;Quartier Cimenterie;A-;3ème Année
Konaté;Cellou;M;26/08/2012;Gueckedou;626437145;cellou.konate127@yahoo.fr;Quartier Matoto;AB-;2eme annee
Konaté;Elhadj;M;07/06/2008;Fria;622126885;elhadj.konate941@yahoo.fr;Quartier Madina;O-;Terminale SE
Fofana;Assiatou;F;12/01/2009;Conakry;664582716;assiatou.fofana859@outlook.com;Quartier Dixinn;O+;Terminale SE
Diakité;Amadou;M;13/09/2008;Mamou;660213915;amadou.diakite772@hotmail.com;Quartier Kagbelen;B+;Terminale SE
Sano;Mohamed;M;20/05/2012;Kankan;620674842;mohamed.sano443@hotmail.com;Quartier Tombolia;AB+;3ème Année
Soumah;Alhassane;M;18/01/2011;Faranah;662665892;alhassane.soumah393@yahoo.fr;Quartier Nongo;AB+;3ème Année
Kouyaté;Djénabou;F;21/10/2010;Kamsar;623190582;djenabou.kouyate553@yahoo.fr;Quartier Kipé;A+;4eme Annee
Kanté;Mamadou;M;05/08/2010;Gaoual;626645980;mamadou.kante591@gmail.com;Quartier Bambeto;AB+;4eme Annee
